id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
"frida-766","Bread, white, for sausages","kornprodukter","Bread, white, for sausages fra Frida DTU database",253.39,8.69,43.9,3.83,2.9,"{'A':0,'D':0,'E':0.5,'B1':0.166,'B2':0.069,'B3':1,'Folate':38,'C':0}","{'sodium':258,'potassium':136,'calcium':42,'magnesium':18,'iron':1.11,'zinc':0.63,'selenium':2.65,'phosphor':105}","frida_dtu","766",true
"frida-767","Celeriac, celery leaves, raw","andre","Celeriac, celery leaves, raw fra Frida DTU database",34.31,2,4.15,0.32,4,"{'E':2.7,'B2':0.34,'B3':0.25}","{'sodium':80,'calcium':325,'iron':4}","frida_dtu","767",true
"frida-768","Whitefish, raw","fisk","Whitefish, raw fra Frida DTU database",113.4,21.6,,3,,"{'A':8,'D':3,'E':2.7,'B1':0.07,'B2':0.07,'B3':4,'C':0}","{'sodium':49,'potassium':380,'calcium':60,'magnesium':30,'iron':0.5,'zinc':0.54,'selenium':16,'phosphor':290}","frida_dtu","768",true
"frida-769","Lingonberry, raw","frugt","Lingonberry, raw fra Frida DTU database",54.03,0.75,7.13,0.5,2.5,"{'A':3.5,'D':0,'E':1.6,'B1':0.05,'B2':0.04,'B3':0.5,'Folate':0,'C':11}","{'sodium':2,'potassium':89,'calcium':20,'magnesium':9,'iron':0.4,'zinc':0.18,'selenium':0,'phosphor':16}","frida_dtu","769",true
"frida-770","Beef, topside, cap off, raw","kød","Beef, topside, cap off, raw fra Frida DTU database",117.6,22.3,,3.13,,"{'A':0,'D':0.03,'E':0.3,'B1':0.036,'B2':0.24,'B3':5.66,'Folate':4,'C':0}","{'sodium':41,'potassium':353,'calcium':3,'magnesium':23,'iron':2.27,'zinc':3.58,'selenium':9.1,'phosphor':195}","frida_dtu","770",true
"frida-771","Pork, tenderloin, trimmed, raw","kød","Pork, tenderloin, trimmed, raw fra Frida DTU database",114.86,21.23,,3.29,,"{'A':0,'D':0.09,'E':0.1,'B1':1.134,'B2':0.245,'B3':4.2,'Folate':2.3,'C':0}","{'sodium':100,'potassium':480,'calcium':8,'magnesium':25,'iron':1.02,'zinc':1.83,'selenium':10.4,'phosphor':220}","frida_dtu","771",true
"frida-772","Crispbread, knackebrot, wheat, fine","kornprodukter","Crispbread, knackebrot, wheat, fine fra Frida DTU database",399.2,11.34,62.6,8.4,4.8,"{'A':52.17,'D':0,'E':1.4,'B1':0.332,'B2':0.105,'B3':4.8,'Folate':84,'C':0}","{'sodium':394,'potassium':147,'calcium':116,'magnesium':65,'iron':1.92,'zinc':1.51,'selenium':2.3,'phosphor':199}","frida_dtu","772",true
"frida-773","Hare, raw","andre","Hare, raw fra Frida DTU database",112.45,21.6,,2.09,,"{'A':0,'D':0,'E':0.1,'B1':0.09,'B2':0.06,'B3':8.07,'Folate':4,'C':0}","{'sodium':77,'potassium':318,'calcium':9,'magnesium':26,'iron':0.8,'zinc':1.7,'selenium':10,'phosphor':210}","frida_dtu","773",true
"frida-774","Rainbow trout, raw","andre","Rainbow trout, raw fra Frida DTU database",152.91,18.48,,8.78,,"{'A':19.55,'D':18.66}","{'sodium':51,'selenium':26}","frida_dtu","774",true
"frida-775","Coriander seed","andre","Coriander seed fra Frida DTU database",371.09,12.37,25.86,17.77,29.12,"{'D':0,'B1':0.239,'B2':0.29,'B3':2.13}","{'sodium':35,'potassium':1267,'calcium':709,'magnesium':330,'iron':16.32,'zinc':4.7,'selenium':26.2,'phosphor':409}","frida_dtu","775",true
"frida-776","Heart, chicken, raw","kød","Heart, chicken, raw fra Frida DTU database",149.05,15.55,0.7,9.33,,"{'A':9,'D':0.4,'E':1,'B1':0.306,'B2':0.728,'B3':4.88,'Folate':45,'C':3.2}","{'sodium':64,'potassium':177,'calcium':12,'magnesium':17,'iron':5.96,'zinc':6.59,'selenium':10,'phosphor':177}","frida_dtu","776",true
"frida-777","Pork, meat, lean, approx. 3 % fat, raw","kød","Pork, meat, lean, approx. 3 % fat, raw fra Frida DTU database",114.2,21.8,,3,,"{'A':0,'D':0.09,'E':0.1,'B1':1.07,'B2':0.31,'B3':4.2,'Folate':2.1,'C':0}","{'sodium':100,'potassium':480,'calcium':9,'magnesium':33,'iron':1.07,'zinc':3.6,'selenium':5.8,'phosphor':276}","frida_dtu","777",true
