id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
frida-1111,"Lucernespirer  rå",andre,"Lucernespirer  rå fra Frida DTU database",26.77,3.99,0.3,0.69,,"{""A"":16,""D"":0,""E"":0.2,""B1"":0,""B2"":0.126,""B3"":0.48,""B6"":0.034,""Folate"":36,""C"":8.2}","{""sodium"":6,""potassium"":79,""calcium"":32,""magnesium"":27,""iron"":0.96,""zinc"":0.92,""selenium"":1,""phosphor"":70}",frida_dtu,1111,true
frida-1112,"Grisekød  uspec.  ca. 20 % fedt  råt",kød,"Grisekød  uspec.  ca. 20 % fedt  råt fra Frida DTU database",242.68,17.92,,19,,"{""A"":8.95,""D"":0.43,""E"":0.1,""B1"":0.65,""B2"":0.22,""B3"":3.5,""B6"":0.32,""Folate"":2,""C"":0}","{""sodium"":68,""potassium"":301,""calcium"":9,""magnesium"":20,""iron"":0.75,""zinc"":3.6,""selenium"":6.9,""phosphor"":170}",frida_dtu,1112,true
frida-1114,"Lakrids  salt",andre,"Lakrids  salt fra Frida DTU database",354.8,6.7,43.4,1,,"{""A"":0,""D"":0,""E"":0,""B1"":0,""B2"":0,""B3"":0,""B6"":0,""Folate"":0,""C"":0}","{""sodium"":519,""potassium"":415,""calcium"":30,""magnesium"":25,""iron"":3.1,""zinc"":0.31,""selenium"":0.5,""phosphor"":26}",frida_dtu,1114,true
frida-1115,"Kiks  20-30% fuldkorn  digestivetype",andre,"Kiks  20-30% fuldkorn  digestivetype fra Frida DTU database",459.65,6.52,66.52,16.49,,"{""A"":0,""D"":0,""E"":1.3,""B1"":0,""B2"":0.035,""B3"":1.83,""B6"":0.089,""Folate"":12.7,""C"":0}","{""sodium"":519,""potassium"":174,""calcium"":26,""magnesium"":30,""iron"":1.17,""zinc"":0.67,""selenium"":3,""phosphor"":116}",frida_dtu,1115,true
frida-1117,"Grisekød  mellemkam med svær  rå",kød,"Grisekød  mellemkam med svær  rå fra Frida DTU database",268,18.26,,21.66,,"{""A"":9.53,""D"":0.33,""E"":0.41,""B1"":0.854,""B2"":0.121,""B3"":5.49,""B6"":0.291,""Folate"":4.6,""C"":0}","{""sodium"":52,""potassium"":292,""calcium"":6,""magnesium"":18,""iron"":0.43,""zinc"":1.26,""selenium"":7.15,""phosphor"":160}",frida_dtu,1117,true
frida-1118,"Vingummi",andre,"Vingummi fra Frida DTU database",348.9,5.48,74.4,0.9,,"{""A"":0,""D"":0,""E"":0,""B1"":0,""B2"":0,""B3"":0,""B6"":0,""Folate"":0,""C"":0}","{""sodium"":62,""potassium"":12,""calcium"":9,""magnesium"":2,""iron"":0,""zinc"":0,""selenium"":0,""phosphor"":4}",frida_dtu,1118,true
frida-1120,"Brisling (sardin)  i olie  konserves",fedtstoffer,"Brisling (sardin)  i olie  konserves fra Frida DTU database",204.69,24.6,,11.34,,"{""A"":18,""D"":12,""E"":2.31,""B1"":11.5,""B2"":0.17,""B3"":5.3,""B6"":0.2,""Folate"":6,""C"":0}","{""sodium"":329,""potassium"":353,""calcium"":420,""magnesium"":39,""iron"":2,""zinc"":2.2,""selenium"":35,""phosphor"":450}",frida_dtu,1120,true
frida-1121,"Sardin  i olie  konserves",fedtstoffer,"Sardin  i olie  konserves fra Frida DTU database",204.69,24.6,,11.34,,"{""A"":18,""D"":12,""E"":1.7,""B1"":11.5,""B2"":0.17,""B3"":5.3,""B6"":0.2,""Folate"":6,""C"":0}","{""sodium"":329,""potassium"":353,""calcium"":420,""magnesium"":39,""iron"":2,""zinc"":2.2,""selenium"":35,""phosphor"":450}",frida_dtu,1121,true
frida-1122,"Kiks til ost  Cream Crackers",mejeriprodukter,"Kiks til ost  Cream Crackers fra Frida DTU database",442.7,9.39,64.19,13.87,,"{""A"":0,""D"":0,""B1"":0,""B2"":0,""B3"":2,""B6"":0.06,""C"":0}","{""sodium"":800,""potassium"":120,""calcium"":110,""magnesium"":25,""iron"":2,""zinc"":1,""selenium"":3,""phosphor"":110}",frida_dtu,1122,true
frida-1124,"Grisekød  kogestykke af bryst med svær  rå",kød,"Grisekød  kogestykke af bryst med svær  rå fra Frida DTU database",294,16,,25.45,,"{""A"":8.85,""D"":0.44,""E"":0.34,""B1"":0.835,""B2"":0.133,""B3"":4.52,""B6"":0.217,""Folate"":5.05,""C"":0}","{""sodium"":61,""potassium"":239,""calcium"":6,""magnesium"":15,""iron"":0.51,""zinc"":1.49,""selenium"":6.9,""phosphor"":144}",frida_dtu,1124,true
frida-1125,"Modermælk  colostrum",mejeriprodukter,"Modermælk  colostrum fra Frida DTU database",57.8,2,6.6,2.6,,"{""A"":177.5,""D"":0.07,""E"":1.3,""B1"":0.1,""B2"":0.03,""B3"":0.1,""B6"":0,""Folate"":2,""C"":7}","{""sodium"":47,""potassium"":70,""calcium"":28,""magnesium"":3,""zinc"":0.6,""phosphor"":14}",frida_dtu,1125,true
